"loan_amnt","funded_amnt","term","int_rate","installment","emp_length","home_ownership","annual_inc","purpose","dti","delinq_2yrs","earliest_cr_line","open_acc","revol_bal","total_acc","pct_of_inc","result"
35000,35000," 60 months",16.29,856.54,"n/a","MORTGAGE",109000,"credit_card",15.72,0,1993-02-20,11,22460,39,0.321100917431193,1
10000,10000," 36 months",15.8,350.59,"8 years","MORTGAGE",60000,"credit_card",21.36,1,1998-11-30,16,9086,28,0.166666666666667,1
14000,14000," 36 months",15.31,487.45,"10+ years","MORTGAGE",96000,"debt_consolidation",23.63,1,1994-11-05,17,12551,29,0.145833333333333,1
16925,16925," 36 months",16.29,597.46,"10+ years","MORTGAGE",64000,"debt_consolidation",13.95,0,2002-12-19,7,15777,17,0.264453125,1
4500,4500," 36 months",19.22,165.46,"< 1 year","RENT",40000,"debt_consolidation",7.35,0,2001-05-10,3,6394,7,0.1125,0
6000,6000," 36 months",14.09,205.33,"3 years","RENT",32000,"debt_consolidation",24.56,0,2006-03-01,11,11837,13,0.1875,1
24250,24250," 60 months",19.05,629.73,"1 year","RENT",60000,"debt_consolidation",22.28,0,1982-08-05,15,29959,24,0.404166666666667,1
31300,31300," 60 months",17.27,782.44,"4 years","MORTGAGE",150000,"home_improvement",12.7,2,1999-06-03,13,15223,24,0.208666666666667,1
17625,17625," 60 months",12.12,393.13,"8 years","MORTGAGE",45000,"home_improvement",8.8,0,2000-09-24,8,12059,17,0.391666666666667,1
8000,8000," 36 months",12.12,266.18,"3 years","RENT",57000,"debt_consolidation",24.06,0,2006-04-19,11,9300,29,0.140350877192982,1
8875,8875," 36 months",13.11,299.51,"2 years","RENT",26000,"credit_card",21.46,0,2007-08-14,9,9759,9,0.341346153846154,0
6625,6625," 36 months",11.71,219.13,"< 1 year","RENT",25000,"debt_consolidation",21.74,0,1995-10-05,9,7626,22,0.265,0
12000,12000," 36 months",17.99,433.77,"10+ years","MORTGAGE",103000,"home_improvement",17.08,2,1997-12-08,12,12511,28,0.116504854368932,1
13200,13200," 36 months",16.29,465.97,"5 years","RENT",60000,"credit_card",10.52,0,2004-08-13,10,13815,15,0.22,0
8000,8000," 36 months",7.9,250.33,"2 years","OWN",40000,"credit_card",5.49,0,2005-01-24,4,7610,12,0.2,1
20000,20000," 36 months",13.67,680.36,"5 years","MORTGAGE",85000,"debt_consolidation",16.79,0,2001-03-08,21,20182,44,0.235294117647059,1
16500,16500," 36 months",9.71,530.17,"10+ years","MORTGAGE",55000,"debt_consolidation",10.67,0,1999-05-11,8,20646,20,0.3,1
14000,14000," 36 months",12.42,467.82,"3 years","RENT",32000,"debt_consolidation",11.3,0,2006-08-05,8,8931,9,0.4375,1
5000,5000," 36 months",7.9,156.46,"10+ years","MORTGAGE",76000,"home_improvement",12.98,0,2005-02-25,8,3633,11,0.0657894736842105,1
2800,2800," 36 months",21,105.5,"7 years","RENT",60000,"medical",27.75,0,2007-02-13,11,15944,14,0.0466666666666667,1
21000,21000," 60 months",15.8,508.46,"10+ years","MORTGAGE",52000,"home_improvement",1.36,0,1996-08-08,5,3583,12,0.403846153846154,1
8000,8000," 36 months",13.11,269.98,"7 years","RENT",40000,"debt_consolidation",18.93,0,2005-10-16,16,7738,19,0.2,1
24000,24000," 36 months",10.16,776.22,"10+ years","MORTGAGE",65000,"debt_consolidation",15.53,0,1987-05-05,11,17882,26,0.369230769230769,1
13000,13000," 36 months",11.55,429,"10+ years","MORTGAGE",58000,"debt_consolidation",26.15,0,1994-03-05,16,10618,32,0.224137931034483,1
6000,6000," 36 months",17.27,214.73,"2 years","RENT",45000,"small_business",13.15,0,2005-05-03,4,13750,6,0.133333333333333,1
